"","geneSymbol","UniProtID","refSeqID","length"
"216","RBMY1B","A6NDE4","NM_001006121",496
"217","GAGE12H","A6NDE8","",117
"218","PGP","A6NDG6","NM_024118",321
"219","OR5H15","A6NDH6","",313
"220","TRIM49B","A6NDI0","",452
"221","GOLGA6C","A6NDK9","NM_001164404",693
"222","METTL21EP","A6NDL7","NR_026965",271
"223","OR6C68","A6NDL8","",312
"224","GOLGA6B","A6NDN3","NM_018652",693
"225","MYADML2","A6NDP7","XR_041347",307
"226","MEIS3P1","A6NDR6","",274
"227","TBC1D3B","A6NDS4","NM_001001417",549
"228","C5orf51","A6NDU8","NM_175921",294
"229","TMEM8B","A6NDV4","NM_016446",472
"230","ZNF840","A6NDX5","",716
"231","PABPN1L","A6NDY0","NM_001080487",278
"232","FAM90A10P","A6NDY2","NR_046351",464
"233","MBD3L4","A6NDZ8","NM_001164419",208
"234","FAM186A","A6NE01","XM_001718353",2351
"235","BTBD17","A6NE02","NM_001080466",478
"236","FAM90A18P","A6NE21","NG_032082",464
"237","FAM90A19P","A6NE21","NG_032084",464
"238","KIAA1875","A6NE52","NM_032529",1622
"239","MBD3L3","A6NE82","NM_001164425",208
"240","FAM231A","A6NEA5","NM_001282321",169
"241","FAM231C","A6NEA5","XM_001715369",169
"242","RCCD1","A6NED2","NM_033544",376
"243","PLEKHD1","A6NEE1","NM_001161498",506
"244","GOLGA6L4","A6NEF3","NM_001267536",574
"245","TMEM247","A6NEH6","NM_001145051",219
"246","ZNF503-AS2","A6NEH8","NR_024422",195
"247","ARRDC5","A6NEK1","XM_292803",342
"248","SOWAHB","A6NEL2","NM_001029870",793
"249","FAM86C2P","A6NEL3","",165
"250","GOLGA6L9","A6NEM1","NM_198181",432
"251","CXorf65","A6NEN9","NM_001025265",183
"252","RBMY1E","A6NEQ0","NM_001006118",496
"253","FAM181B","A6NEQ2","NM_175885",426
"254","TBC1D3F","A6NER0","NM_032258.2",549
"255","GAGE12J","A6NER3","NM_001098406",117
"256","MROH2A","A6NES4","XM_291007",1706
"257","OR5K3","A6NET4","",321
"258","PRR23A","A6NEV1","NM_001134659",266
"259","FAM90A17P","A6NEW6","NG_011770",464
"260","FAM90A16P","A6NEW6","NG_011769",464
"261","GOLGA6L3","A6NEY3","XM_002343391",463
"262","PRORSD1P","A6NEY8","NR_027258",169
"263","POM121B","A6NF01","NG_013116.1",834
"264","ANTXRL","A6NF34","XM_113625",631
"265","CCDC182","A6NF36","",153
"266","NUPR1L","A6NF83","NM_001145712",97
"267","OR6C6","A6NF89","",314
"268","FAM205CP","A6NFA0","NG_027513",338
"269","TRABD2B","A6NFA1","NM_001194986",517
"270","TMEM235","A6NFC5","NM_001204211",223
"271","OR2W5","A6NFC9","NM_001004698",320
"272","HELT","A6NFD8","NM_001300781",327
"273","SMCO2","A6NFE2","NM_001145010",343
"274","EFCAB10","A6NFE3","",127
"275","NAP1L6","A6NFF2","NR_027291",107
"276","FABP12","A6NFH5","NM_001105281",140
"277","ZNF316","A6NFI3","NM_001278559",1004
"278","GRXCR2","A6NFK2","",248
"279","RBFOX3","A6NFN3","NM_001082575",312
"280","ANKUB1","A6NFN9","NM_001144960",424
"281","FAM115C","A6NFQ2","NM_173678",919
"282","DPRX","A6NFQ7","NM_001012728",191
"283","C5orf60","A6NFR6","NM_001142306",353
"284","CCDC42B","A6NFT4","NM_001144872",308
"285","FAM187A","A6NFU0","",413
"286","PGPEP1L","A6NFU8","NM_001102612.2",196
"287","MFSD2B","A6NFX1","NM_001080473",497
"288","TMEM194B","A6NFY4","XM_001723498",417
"289","SDHAF1","A6NFY7","NM_001042631",115
"290","FAM24A","A6NFZ4","XM_058332",105
"291","TMEM202","A6NGA9","NM_001080462",273
"292","TMEM191C","A6NGB0","NM_001207052",121
"293","TMEM221","A6NGB7","",291
"294","WIPF3","A6NGB9","",483
"295","TLCD2","A6NGC4","NM_001164407",264
"296","ZSCAN5C","A6NGD5","XM_001131980",496
"297","DCAF8L1","A6NGE4","XM_066690",600
"298","URAD","A6NGE7","",173
"299","C9orf92","A6NGG3","",77
"300","C2orf71","A6NGG8","NM_001029883",1288
"301","CCDC160","A6NGH7","NM_001101357",325
"302","ANKRD61","A6NGH8","",418
"303","TRIM64","A6NGJ6","XM_061890",449
"304","GAGE10","A6NGK3","NM_001098413",116
"305","IGLON5","A6NGN9","NM_001101372",336
"306","OOEP","A6NGQ2","NM_001080507",149
"307","MROH6","A6NGR9","NM_001100878",719
"308","ERICH4","A6NGS2","NM_001130514",130
"309","GGT3P","A6NGU5","NR_003267",568
"310","CXorf28","A6NGU7","NR_038428",62
"311","STRCP1","A6NGW2","",1772
"312","FRG2C","A6NGY1","NM_001124759.1",282
"313","C5orf52","A6NGY3","NM_001145132",159
"314","OR51F1","A6NGY5","NM_001004752",319
"315","SMIM9","A6NGZ8","NM_001162936",99
"316","OR2T8","A6NH00","NM_001005522",312
"317","GLTPD2","A6NH11","NM_001014985",291
"318","DNAJC9-AS1","A6NH13","",148
"319","SERINC4","A6NH21","",518
"320","TVP23A","A6NH52","NM_001079512",213
"321","ARL5C","A6NH57","NM_001143968",179
"322","OR4C46","A6NHA9","NM_001004703",309
"323","CAPN8","A6NHC0","NM_001143962",703
"324","DDTL","A6NHG4","NM_001084393",134
"325","OR5H14","A6NHG9","",310
"326","ZNF860","A6NHJ4","",632
"327","TUBAL3","A6NHL2","NM_024803",446
"328","MOXD2P","A6NHM9","NR_024346",499
"329","OTOL1","A6NHN0","NM_001080440",477
"330","NPIPB15","A6NHN6","NM_001018059",443
"331","SPDYE2B","A6NHP3","",402
"332","FBLL1","A6NHQ2","NR_024356",333
"333","C17orf96","A6NHQ4","NM_001130677",379
"334","FAM47DP","A6NHR8","NG_008058",397
"335","SMCHD1","A6NHR9","",2005
"336","MANSC4","A6NHS7","",340
"337","HMX3","A6NHT5","XM_291716",357
"338","FAM106B","A6NHU5","",169
"339","GATSL2","A6NHX0","NM_001145064",329
"340","ANKDD1B","A6NHY2","XM_373090",528
"341","C9orf118","A6NHY6","",69
"342","LRRC14B","A6NHZ5","NM_001080478",514
"343","TRIM64B","A6NI03","",449
"344","MSGN1","A6NI15","XM_292850",193
"345","ARHGAP42","A6NI28","NM_152432",874
"346","POTEM","A6NI47","NM_001145442",508
"347","CCDC154","A6NI56","NM_001143980",674
"348","TMEM8C","A6NI61","NM_001080483",221
"349","NCF1B","A6NI72","NR_003186",391
"350","LILRA5","A6NI73","NM_181985",299
"351","CCDC69","A6NI79","NM_015621",296
"352","GOLGA6L10","A6NI86","NM_001164465",479
"353","CBY3","A6NI87","XM_936994",242
"354","RRN3P2","A6NIE6","NR_003369",340
"355","PRSS29P","A6NIE9","NG_002329",313
"356","UNC119B","A6NIH7","NM_001080533",251
"357","FAM90A20P","A6NIJ5","NG_032078",464
"358","OR6C70","A6NIJ9","",312
"359","LRRC10B","A6NIK2","NM_001145077",292
"360","CRYM-AS1","A6NIL9","NR_026675",109
"361","SLC15A5","A6NIM6","XM_001129090",579
"362","AGAP5","A6NIR3","XM_001132585",686
"363","C21orf37","A6NIU2","NR_037585",74
"364","LRRIQ4","A6NIV6","NM_001080460",560
"365","WTIP","A6NIX2","XM_059037",430
"366","SPDYE5","A6NIY4","NM_001099435",337
"367","MBD3L5","A6NJ08","NM_001136507",208
"368","IGHV4OR15-8","A6NJ16","",123
"369","NKX6-3","A6NJ46","NM_152568",265
"370","IGIP","A6NJ69","NM_001007189",53
"371","METTL15","A6NJ78","NM_152636",407
"372","PRR19","A6NJB7","NM_199285",356
"373","SOWAHD","A6NJG2","NM_001105576",315
"374","ARGFX","A6NJG6","NM_001012659",315
"375","C11orf86","A6NJI1","NM_001136485",115
"376","LRRC72","A6NJI9","",287
"377","C19orf67","A6NJJ6","XM_929382",358
"378","ZSCAN5B","A6NJL1","NM_001080456",495
"379","FAM90A8P","A6NJQ4","NG_032083",464
"380","IGHV1OR21-1","A6NJS3","NG_011680",120
"381","UNCX","A6NJT0","NM_001080461",531
"382","C2orf70","A6NJV1","NM_001105519",201
"383","LRRC3C","A6NJW4","",275
"384","CD8BP","A6NJW9","XM_166000",211
"385","SLC9B1P1","A6NJY1","NG_023008",282
"386","OR6C65","A6NJZ3","",312
"387","RIMBP3C","A6NJZ7","XM_036942",1639
"388","TRIM75P","A6NK02","NG_016722",468
"389","IRG1","A6NK06","XM_001133269",481
"390","GLOD5","A6NK44","NM_001080489",160
"391","ZNF233","A6NK53","NM_181756",670
"392","LIPT2","A6NK58","NM_001144869",231
"393","ASB14","A6NK59","",587
"394","ZNF98","A6NK75","NM_001098626",572
"395","RASSF10","A6NK89","NM_001080521",507
"396","SLC22A20","A6NK97","NM_001004326",555
"397","PCNXL2","A6NKB5","NM_014801",2137
"398","FAM90A7P","A6NKC0","NR_046343",464
"399","FCGR1C","A6NKC4","XM_001133198",280
"400","SH2D7","A6NKC9","NM_001101404",451
"401","TSPY2","A6NKD2","NM_022573",308
"402","CCDC85C","A6NKD9","NM_001144995",419
"403","SAC3D1","A6NKF1","NM_013299",404
"404","ARID3C","A6NKF2","XM_071061",412
"405","TMEM88B","A6NKF7","NM_001146685",163
"406","RTL1","A6NKG5","NM_001134888",1358
"407","RPL37AP8","A6NKH3","NG_011253",93
"408","OR5H1","A6NKK0","NM_001005338",313
"409","TMEM200C","A6NKL6","NM_001080209",621
"410","PCP4L1","A6NKN8","",68
"411","SDR42E2","A6NKP2","",422
"412","CGB1","A6NKQ9","NM_033377",187
"413","RGPD3","A6NKT7","XM_929931",1758
"414","SPDYE3","A6NKU9","NM_001004351",549
"415","FAM159B","A6NKW6","XM_001720158",160
"416","FAM223B","A6NKX1","NR_027402",122
"417","SLC22A31","A6NKX4","NM_001242757",558
"418","FAM74A7","A6NL05","XR_078406",159
"419","OR6C75","A6NL08","",312
"420","OR5B21","A6NL26","NM_001005218",309
"421","FAM183A","A6NL82","NM_001101376",134
"422","SHISA7","A6NL88","NM_001145176",538
"423","AQP7P3","A6NL99","NG_005142",342
"424","C3orf70","A6NLC5","NM_001025266",250
"425","SMIM23","A6NLE4","",156
"426","TCEB3CL2","A6NLF2","XM_929328",546
"427","TRIM64C","A6NLI5","",447
"428","C2CD4B","A6NLJ0","NM_001007595",364
"429","TTC36","A6NLP5","NM_001080441",189
"430","RFPL4A","A6NLU0","XM_292796",287
"431","VSTM2B","A6NLU5","NM_001146339",285
"432","DUXA","A6NLW8","NM_001012729",204
"433","SPDYE4","A6NLX3","NM_001128076",237
"434","TMEM210","A6NLX4","XM_001715022",147
"435","OR2AG2","A6NM03","NM_001004490",316
"436","AQP12B","A6NM10","",295
"437","LRRC37A2","A6NM11","NM_001006607",1700
"438","CBWD7","A6NM15","XM_001717050",247
"439","ZFP92","A6NM28","",416
"440","LRRC30","A6NM36","XM_292678",301
"441","CCT8L1P","A6NM43","",557
"442","CLDN24","A6NM45","XM_001714660",220
"443","LRRC53","A6NM62","",1247
"444","C21orf54","A6NM66","NR_024102",108
"445","OR6C76","A6NM76","NM_001005183",312
"446","TRPC5OS","A6NMA1","NM_001195576",111
"447","SIGLEC16","A6NMB1","NR_002825",481
"448","FIGNL2","A6NMB9","NM_001013690",653
"449","IFITM10","A6NMD0","NM_001170820",228
"450","GOLGA8J","A6NMD2","XM_001724382",632
"451","CPSF4L","A6NMK7","NM_001129885",179
"452","FAM196B","A6NMK8","NM_001129891",535
"453","TMEM212","A6NML5","",194
"454","FAM170B","A6NMN3","XM_096317",283
"455","OR5K4","A6NMS3","",321
"456","LRRC37A","A6NMS7","NM_014834",1700
"457","DBX1","A6NMT0","NM_001029865",343
"458","OR52A4","A6NMU1","NG_029079",304
"459","EIF4E1B","A6NMX2","NM_001099408",242
"460","ANXA2P2","A6NMY6","",339
"461","SNTN","A6NMZ2","NM_001080537",147
"462","OR4C45","A6NMZ5","",311
"463","COL6A6","A6NMZ7","NM_001102608",2263
"464","ZNF729","A6NN14","XM_496301",1252
"465","GOLGA8CP","A6NN73","",597
"466","C2orf81","A6NN90","NM_001145054",581
"467","GJE1","A6NN92","",205
"468","SRRM3","A6NNA2","NM_001110199",597
"469","DRGX","A6NNA5","XM_060970",263
"470","IFITM5","A6NNB3","NM_001025295",132
"471","OR2AT4","A6NND4","NM_001005285",320
"472","11-Mar","A6NNE9","NM_001102562",402
"473","ZNF726","A6NNF4","XM_001715134",738
"474","GATSL1","A6NNH0","NM_001145063",329
"475","FAM90A27P","A6NNH2","NR_046365",459
"476","FAM90A9P","A6NNJ1","NG_032085",464
"477","NUTM2B","A6NNL0","NG_012780",878
"478","C15orf61","A6NNL5","NM_001143936",157
"479","RIMBP3B","A6NNM3","XM_036936",1639
"480","TTLL13","A6NNM8","NM_001029964",815
"481","SLC38A8","A6NNN8","NM_001080442",435
"482","CCDC169","A6NNP5","NM_001144981",214
"483","DHRS7C","A6NNS2","XM_113912",312
"484","C16orf96","A6NNT2","NM_001145011",1141
"485","ENO4","A6NNW6","NM_001242699",628
"486","RIIAD1","A6NNX1","NM_001144956",92
"487","USP27X","A6NNY8","XM_372213",438
"488","ZNF716","A6NP11","NM_001159279",495
"489","ZAR1L","A6NP61","",321
"490","TTLL8","A6PVC2","NM_001080447",850
"491","NCBP2L","A6PVI3","XM_373362",153
"492","KNCN","A6PVL3","NM_182516",124
"493","LRRIQ3","A6PVS8","NM_145258",624
"494","FAM177B","A6PVY3","NM_207468",158
"495","CXorf30","A6PW82","NP_001092313",633
"496","BTBD11","A6QL63","NM_152322",1104
"497","ANKRD36","A6QL64","",1941
"498","YJEFN3","A6XGL0","NM_198537",299
"499","FAM127A","A6ZKI3","NM_001078171",113
"500","GOLGA8A","A7E2F4","NM_181076",631
"501","ANKRD30BL","A7E2S9","NR_027019",258
"502","C4orf47","A7E2U8","NM_001114357",309
"503","ZSWIM8","A7E2V4","NM_001242487",1837
"504","MYH7B","A7E2Y1","NM_020884",1941
"505","ARHGAP32","A7KAX9","NM_014715",2087
"506","DISP2","A7MBM2","NM_033510",1401
"507","TBKBP1","A7MCY6","NM_014726",615
"508","SRRM4","A7MD48","NM_194286",611
"509","SOBP","A7XYQ1","NM_018013",873
"510","POM121C","A8CG34","NM_001099415",1229
"511","LINC00473","A8K010","NR_026860",186
"512","ZNF839","A8K0R7","NM_018335",811
"513","MEIS3P2","A8K0S8","NG_002418",358
"514","WASH1","A8K0Z3","NM_182905",465
"515","A2ML1","A8K2U0","NM_144670",1454
"516","CD300LB","A8K4G0","NM_174892",201
"517","ZNF815P","A8K554","",130
"518","C15orf62","A8K5M9","NM_001130448",175
"519","CLCA1","A8K7I4","NM_001285",914
"520","COLCA2","A8K830","NM_001136105",154
"521","EFCAB7","A8K855","NM_032437",629
"522","SFI1","A8K8P3","NM_014775",1242
"523","ZNF785","A8K8V0","NM_152458",405
"524","ERI2","A8K979","NM_080663",691
"525","DDX11L8","A8MPP1","NG_017127",907
"526","YDJC","A8MPS7","",323
"527","PP2D1","A8MPX8","NM_144714",630
"528","GABRR3","A8MPY1","",467
"529","CYSRT1","A8MQ03","NM_199001",144
"530","PMS2P5","A8MQ11","NR_027775",134
"531","ZNF850","A8MQ14","XM_001720258",1090
"532","NEURL1B","A8MQ27","",555
"533","C17orf51","A8MQB3","NM_001113434",221
"534","GOLGA8B","A8MQT2","NM_001023567",603
"535","NPIPB5","A8MRT5","NM_001135865",1133
"536","LYRM9","A8MSI8","NM_001076680",78
"537","RHPN2P1","A8MT19","XR_017120",583
"538","SYCE1L","A8MT33","NM_001129979",242
"539","ZNF891","A8MT65","",544
"540","STRA13","A8MT69","NM_144998",81
"541","ZBBX","A8MT70","NM_024687",800
"542","CTGLF11P","A8MT82","NG_005806",671
"543","FAM166B","A8MTA8","NM_001099951",275
"544","CEACAM18","A8MTB9","",384
"545","PRSS47","A8MTI9","XR_078416",375
"546","GNAT3","A8MTJ3","XM_294370",354
"547","FOXI3","A8MTJ6","NM_001135649",420
"548","IQCF5","A8MTL0","XM_371643",148
"549","RNF212B","A8MTL3","",300
"550","HMSD","A8MTL9","XM_209104",139
"551","NOTO","A8MTQ0","XM_292889",251
"552","ZNF724P","A8MTY0","",619
"553","KRTAP9-7","A8MTY7","XM_003118738",169
"554","BBIP1","A8MTZ0","NR_015402",92
"555","C12orf71","A8MTZ7","NM_001080406",269
"556","SMTNL1","A8MU46","XM_166203",457
"557","C17orf100","A8MU93","NM_001105520",164
"558","PDZK1P1","A8MUH7","",402
"559","PDZK1P2","A8MUH7","",402
"560","USP17L5","A8MUK1","NM_001242329",530
"561","ADARB2-AS1","A8MUL3","NR_033387",147
"562","LGALS16","A8MUM7","",142
"563","METTL12","A8MUP2","NM_001043229",240
"564","FABP5P3","A8MUU1","NR_002935",101
"565","ZNF727","A8MUV8","NM_001159522",499
"566","KRTAP16-1","A8MUX0","NM_001146182",517
"567","ZNF705G","A8MUZ8","XM_001720517",300
"568","SERPINE3","A8MV23","NM_001101320",424
"569","C17orf98","A8MV24","NM_001080465",154
"570","MPTX1","A8MV57","",137
"571","VGLL3","A8MV65","NM_016206",326
"572","HIGD1C","A8MV81","NM_001109619",97
"573","KRTAP9-6","A8MVA2","XM_003118751",160
"574","SKINTL","A8MVG2","NR_026749",218
"575","ZNF705F","A8MVS1","",300
"576","C19orf38","A8MVS5","NM_001136482",230
"577","NCF1C","A8MVU1","NR_003187",366
"578","FAM171A2","A8MVW0","NM_198475",826
"579","HEPACAM2","A8MVW5","NM_198151",462
"580","ARHGEF33","A8MVX0","NM_001145451",844
"581","BTNL10","A8MVZ5","XM_001722031",291
