"","geneSymbol","mRNA_medvals"
"ARHGAP9","ARHGAP9",126.7701
"RSPO4","RSPO4",5.29155
"MARVELD2","MARVELD2",22.2986
"PDSS2","PDSS2",359.81395
"MAT1A","MAT1A",3.1486
"WWC1","WWC1",368.22375
"FAM126A","FAM126A",292.804
"ATP13A2","ATP13A2",1298.1358
"SEC23B","SEC23B",1638.94125
"SEC23A","SEC23A",1116.3949
"SAMD9","SAMD9",633.792
"LAMTOR2","LAMTOR2",1030.10395
"RAX2","RAX2",0
"PALB2","PALB2",407.5188
"LEPRE1","LEPRE1",729.0964
"RNASEH2C","RNASEH2C",631.151
"RNASEH2B","RNASEH2B",478.087
"B3GALTL","B3GALTL",306.2657
"BANK1","BANK1",61.3621
"GALNT12","GALNT12",150.9434
"ORAI1","ORAI1",396.5595
"PIGV","PIGV",302.3275
"PIGM","PIGM",444.94975
"ZFYVE27","ZFYVE27",630.0036
"TRMU","TRMU",231.5457
"ZNF750","ZNF750",1059.7823
"RIN2","RIN2",1325.7098
"DFNB59","DFNB59",11.0712
"SLC4A11","SLC4A11",57.3504
"MED25","MED25",1027.7405
"GLIS3","GLIS3",48.0349
"CCDC28B","CCDC28B",193.7421
"CCT5","CCT5",5279.9242
"BBS10","BBS10",352.0369
"CEP290","CEP290",316.2805
"VANGL1","VANGL1",905.2073
"ADAMTSL4","ADAMTSL4",173.2116
"SIAE","SIAE",748.0262
"CC2D1A","CC2D1A",1083.8654
"ALDH5A1","ALDH5A1",352.4571
"CLDN19","CLDN19",0.0264
"EHBP1","EHBP1",818.5417
"TMEM67","TMEM67",171.1941
"MKS1","MKS1",290.8472
"SPATA7","SPATA7",130.8596
"TMPRSS6","TMPRSS6",3.318
"SPATA16","SPATA16",0
"SI","SI",0
"SLC24A4","SLC24A4",5.02165
"MMACHC","MMACHC",143.928
"SLC34A3","SLC34A3",1.38155
"HMBS","HMBS",373.29355
"SLC24A5","SLC24A5",3.26515
"NEK8","NEK8",82.2011
"BLOC1S3","BLOC1S3",341.93535
"TRIOBP","TRIOBP",1697.01485
"ACOX1","ACOX1",1290.9831
"PKLR","PKLR",1.3345
"LPL","LPL",158.5455
"NAGLU","NAGLU",941.0333
"HPD","HPD",0.7934
"SLITRK1","SLITRK1",0.0049
"WDR36","WDR36",622.64685
"NLRP7","NLRP7",3.0956
"NDUFAF2","NDUFAF2",161.0138
"NLRP12","NLRP12",3.3715
"FANCM","FANCM",124.6267
"PVRL4","PVRL4",63.7388
"RSPO1","RSPO1",0.7194
"GLRX5","GLRX5",538.02935
"L2HGDH","L2HGDH",240.8696
"CUL7","CUL7",1084.52665
"ACADL","ACADL",2.34135
"ACADVL","ACADVL",3041.5317
"PLEKHG4","PLEKHG4",227.77225
"ALDH3A2","ALDH3A2",1417.3676
"THAP1","THAP1",311.1253
"CHMP2B","CHMP2B",1064.9778
"TOPORS","TOPORS",521.7694
"CYP27B1","CYP27B1",52.1102
"MANBA","MANBA",776.70115
"MAN2B1","MAN2B1",2522.1442
"HAL","HAL",1.6709
"NDUFA13","NDUFA13",2667.04305
"LHFPL5","LHFPL5",0.04155
"PIKFYVE","PIKFYVE",687.4682
"ERCC6","ERCC6",231.4611
"ERCC8","ERCC8",137.28605
"STOX1","STOX1",29.5954
"FIG4","FIG4",421.60615
"NIPAL4","NIPAL4",7.331
"KIAA1279","KIAA1279",635.2633
"ESCO2","ESCO2",76.96145
"GIF","GIF",0
"DBH","DBH",2.7054
"MSH2","MSH2",710.8233
"SLC25A22","SLC25A22",685.6934
"CYP17A1","CYP17A1",0.7295
"SPRED1","SPRED1",918.7298
"CENPJ","CENPJ",176.0722
"RAB3GAP2","RAB3GAP2",1069.7952
"CRBN","CRBN",419.302
"LIPI","LIPI",0
"GPSM2","GPSM2",515.0984
"LPAR6","LPAR6",506.8154
"IQCB1","IQCB1",394.402
"MRAP","MRAP",0.22745
"MPLKIP","MPLKIP",746.594
"SUGCT","SUGCT",58.5737
"D2HGDH","D2HGDH",227.8034
"REEP1","REEP1",11.6279
"PDCD10","PDCD10",875.31725
"POU6F2","POU6F2",0.25715
"PNPLA2","PNPLA2",2262.7687
"MUT","MUT",777.447
"KRT75","KRT75",0
"PNKD","PNKD",1538.1378
"BTD","BTD",299.2636
"HLCS","HLCS",589.71985
"ERMAP","ERMAP",241.63985
"MCCC2","MCCC2",1407.81915
"MCCC1","MCCC1",721.0008
"LRRK2","LRRK2",162.57715
"ADAMTS10","ADAMTS10",38.7481
"DNAJC19","DNAJC19",348.8951
"CABP4","CABP4",2.3932
"ADA","ADA",71.1786
"FREM2","FREM2",82.6028
"FREM1","FREM1",17.8812
"ARL13B","ARL13B",185.58475
"PITPNM3","PITPNM3",28.4822
"ATPAF2","ATPAF2",298.9299
"UNC13D","UNC13D",291.54895
"SGCG","SGCG",0.838
"AHI1","AHI1",245.8333
"SLC6A19","SLC6A19",0
"CHD7","CHD7",595.27435
"PPARGC1B","PPARGC1B",32.3867
"ARL6","ARL6",81.306
"RDH12","RDH12",7.1386
"EFHC1","EFHC1",214.7706
"GJC2","GJC2",18.6787
"GCDH","GCDH",535.8837
"DFNA5","DFNA5",299.06435
"PC","PC",611.2213
"ANKK1","ANKK1",3.26815
"MED13L","MED13L",1708.9744
"DLAT","DLAT",924.9782
"PDHX","PDHX",590.853
"TSEN54","TSEN54",526.7644
"TSEN34","TSEN34",797.1191
"TSEN2","TSEN2",172.0493
"ALG3","ALG3",815.07595
"SLC39A13","SLC39A13",1018.6159
"CYP2R1","CYP2R1",117.2669
"FIGLA","FIGLA",0
"NIPBL","NIPBL",1554.80565
"PEX26","PEX26",609.35865
"ANO5","ANO5",9.7001
"SEC63","SEC63",2085.8356
"ROBO3","ROBO3",59.5419
"STRADA","STRADA",554.993
"CYP4V2","CYP4V2",585.6372
"RP1L1","RP1L1",2.2936
"GRHL2","GRHL2",299.90195
"MYH14","MYH14",1411.54915
"VPS33B","VPS33B",343.76595
"HMCN1","HMCN1",307.2515
"VKORC1","VKORC1",1625.83075
"GLIS2","GLIS2",614.6707
"VHL","VHL",367.6757
"NCF2","NCF2",330.41305
"NCF1","NCF1",82.5974
"CYBA","CYBA",2431.2377
"MFN2","MFN2",1872.13555
"PRICKLE1","PRICKLE1",145.8581
"SETX","SETX",1904.9309
"PYGM","PYGM",8.79855
"ETHE1","ETHE1",615.0642
"SYNE1","SYNE1",704.1026
"CHST14","CHST14",371.65455
"MCEE","MCEE",118.5853
"PLCE1","PLCE1",94.6128
"USH2A","USH2A",2.6552
"SLC9A9","SLC9A9",141.9608
"CERKL","CERKL",48.011
"HFE2","HFE2",0
"LRRC8A","LRRC8A",1527.7533
"BCKDHA","BCKDHA",855.0882
"SLC36A2","SLC36A2",0
"ARG1","ARG1",0.3485
"ASL","ASL",506.5431
"PINK1","PINK1",1337.5554
"CPS1","CPS1",43.8823
"NAGS","NAGS",16.5165
"IGF2BP2","IGF2BP2",199.7503
"KIF21A","KIF21A",570.1873
"NEU1","NEU1",1882.0569
"SCN4B","SCN4B",67.7774
"KRT74","KRT74",0
"ADSL","ADSL",1030.5522
"MASTL","MASTL",245.6869
"SCN3B","SCN3B",9.3823
"EXT2","EXT2",2057.554
"SH3TC2","SH3TC2",20.5832
"UNC93B1","UNC93B1",473.13425
"CDK5RAP2","CDK5RAP2",1101.4327
"SPG21","SPG21",1899.3637
"ATCAY","ATCAY",0.42735
"EXT1","EXT1",798.212
"CACNA2D4","CACNA2D4",29.066
"SEMA3E","SEMA3E",3.0681
"SOX9","SOX9",922.8306
"SATB2","SATB2",134.7403
"NIPA1","NIPA1",477.78425
"NSMF","NSMF",473.9229
"ARHGEF10","ARHGEF10",497.5018
"ASPN","ASPN",55.6768
"TTC8","TTC8",374.3202
"XYLT2","XYLT2",747.71725
"XYLT1","XYLT1",296.5025
"FANCL","FANCL",130.9103
"PUS1","PUS1",349.4977
"MEFV","MEFV",10.3761
"ALG8","ALG8",1086.5428
"PALLD","PALLD",1769.01315
"APOC2","APOC2",113.7321
"NHLRC1","NHLRC1",81.9851
"ETFA","ETFA",1526.5382
"ANTXR2","ANTXR2",261.0803
"ASPA","ASPA",2.3923
"HSPB8","HSPB8",300.2987
"NPC1L1","NPC1L1",3.1703
"SIL1","SIL1",731.6093
"NPHP3","NPHP3",264.7833
"TPP1","TPP1",4800.55285
"GORAB","GORAB",248.72205
"COX4I2","COX4I2",3.7034
"BBS9","BBS9",206.2168
"SUMF1","SUMF1",600.97995
"CCM2","CCM2",837.0996
"DFNB31","DFNB31",242.7932
"A4GALT","A4GALT",82.0189
"ALG2","ALG2",811.7571
"CACNA1H","CACNA1H",76.1031
"FERMT3","FERMT3",379.40035
"FERMT1","FERMT1",3.94145
"DSG4","DSG4",0
"BEST1","BEST1",29.69855
"LEMD3","LEMD3",672.2253
"GNPTAB","GNPTAB",1198.5749
"GBE1","GBE1",650.19335
"GNPTG","GNPTG",208.53215
"CLN8","CLN8",405.59625
"FRAS1","FRAS1",52.11155
"ZNF365","ZNF365",47.17165
"VPS13B","VPS13B",705.32565
"RGS9BP","RGS9BP",5.7222
"ACAT1","ACAT1",620.6897
"CNNM4","CNNM4",521.06595
"ABCA12","ABCA12",3.80155
"MCFD2","MCFD2",2718.56825
"PCSK9","PCSK9",3.6271
"HSD3B7","HSD3B7",478.8859
"KIRREL3","KIRREL3",2.0445
"ITGA2B","ITGA2B",4.2155
"TJP2","TJP2",1277.82845
"KANK1","KANK1",614.0882
"SBF2","SBF2",605.5142
"USH1G","USH1G",2.0378
"SECISBP2","SECISBP2",724.2715
"SAR1B","SAR1B",497.9636
"GNS","GNS",4218.4635
"CTH","CTH",52.666
"OSTM1","OSTM1",881.319
"FSCN2","FSCN2",4.5147
"RAI1","RAI1",1080.4837
"ATXN7","ATXN7",573.3836
"XDH","XDH",5.71005
"NPC1","NPC1",1580.51805
"KRT9","KRT9",0
"KCNV2","KCNV2",0.4824
"BBS7","BBS7",231.1512
"ATM","ATM",816.5289
"ARSA","ARSA",715.7847
"MMAB","MMAB",496.656
"EPM2A","EPM2A",121.5449
"IL23R","IL23R",0.29635
"SLC17A8","SLC17A8",0.12225
"LRPPRC","LRPPRC",3383.471
"KCNQ1","KCNQ1",101.61655
"HPS6","HPS6",454.0853
"HPS5","HPS5",630.97245
"ADAMTS17","ADAMTS17",31.00675
"MMAA","MMAA",190.94005
"APCDD1","APCDD1",191.4222
"TPH2","TPH2",0
"HGD","HGD",2.5134
"CDAN1","CDAN1",298.1267
"ATN1","ATN1",4003.9428
"DYM","DYM",655.8244
"CIRH1A","CIRH1A",907.7229
"SBDS","SBDS",1837.1296
"FKTN","FKTN",379.94785
"POMT2","POMT2",422.9811
"PDSS1","PDSS1",72.8658
"POMT1","POMT1",378.3064
"NME8","NME8",0.8237
"MC2R","MC2R",0
"CDC73","CDC73",1063.5882
"NF2","NF2",636.21755
"LIPH","LIPH",12.1376
"AIRE","AIRE",0.3411
"SALL4","SALL4",20.1489
"GABBR2","GABBR2",3.9241
"RP9","RP9",177.2056
"SRD5A2","SRD5A2",0.9184
"PRPF3","PRPF3",798.4221
"PRPF8","PRPF8",7212.1306
"SEMA4A","SEMA4A",726.9886
"FLCN","FLCN",547.0756
"EVC2","EVC2",61.343
"TMIE","TMIE",4.8812
"IRF5","IRF5",374.8846
"NPHP4","NPHP4",258.4849
"CARD9","CARD9",54.032
"ALOXE3","ALOXE3",1.45935
"IRF6","IRF6",594.3524
"TDP1","TDP1",405.4455
"PTF1A","PTF1A",0
"CRELD1","CRELD1",552.1431
"DTNBP1","DTNBP1",407.9601
"ALG12","ALG12",621.5042
"FANCA","FANCA",409.263
"PROKR2","PROKR2",0
"MCPH1","MCPH1",278.0819
"SPG20","SPG20",851.2083
"PAX6","PAX6",23.9216
"NPHP1","NPHP1",79.5791
"SLC22A12","SLC22A12",0
"MTHFR","MTHFR",624.9633
"HYAL1","HYAL1",78.03925
"FKBP10","FKBP10",529.6034
"SLC39A4","SLC39A4",311.8483
"IMPG2","IMPG2",1.58715
"ATXN3","ATXN3",385.4469
"CLN3","CLN3",996.7307
"ABCC11","ABCC11",3.0326
"OTOA","OTOA",10.5383
"SUFU","SUFU",576.1607
"TRPM6","TRPM6",6.00225
"ACADM","ACADM",709.4527
"PROK2","PROK2",0
"EHMT1","EHMT1",1262.4833
"GALT","GALT",306.086
"MPO","MPO",2.5474
"ADCK3","ADCK3",385.8516
"COG8","COG8",396.1079
"COG7","COG7",522.3017
"COG4","COG4",1120.07635
"COG1","COG1",760.964
"LCAT","LCAT",70.39085
"GALE","GALE",867.43285
"LDLR","LDLR",939.9865
"ALG9","ALG9",522.30495
"UROS","UROS",431.9677
"TRPM4","TRPM4",567.70815
"TYR","TYR",0
"LYST","LYST",605.68795
"GALC","GALC",710.0541
"SUOX","SUOX",586.3582
"ACADS","ACADS",433.439
"IRAK4","IRAK4",373.76505
"ATP7B","ATP7B",171.9488
"PHGDH","PHGDH",832.8594
"HEXA","HEXA",2705.6109
"SERPING1","SERPING1",2990.3409
"GCLC","GCLC",765.1054
"TCOF1","TCOF1",1566.20505
"ALMS1","ALMS1",549.7357
"RB1CC1","RB1CC1",1346.70805
"POMGNT1","POMGNT1",1714.6531
"COG5","COG5",857.8148
"ALDH4A1","ALDH4A1",429.3271
"PRODH","PRODH",154.90505
"MYO3A","MYO3A",0.8961
"FTCD","FTCD",1.831
"GAA","GAA",2918.2969
"ST14","ST14",441.2525
"TPO","TPO",0.3271
"MLYCD","MLYCD",197.9096
"DUOX2","DUOX2",9.2707
"SAMHD1","SAMHD1",645.35155
"TLL1","TLL1",14.12355
"CLN6","CLN6",783.4673
"SLC26A2","SLC26A2",657.64775
"PRSS12","PRSS12",54.995
"TMC1","TMC1",0.4276
"PKHD1","PKHD1",5.495
"EIF2B4","EIF2B4",598.42245
"EIF2B1","EIF2B1",1062.1333
"HPS4","HPS4",865.3272
"NSD1","NSD1",1697.7591
"UPB1","UPB1",2.1001
"GP1BA","GP1BA",8.25425
"RXFP2","RXFP2",0
"GFM1","GFM1",1269.7345
"NLRP1","NLRP1",175.8373
"TMPRSS15","TMPRSS15",0
"RIMS1","RIMS1",0.2445
"GNMT","GNMT",1.2782
"SMARCAL1","SMARCAL1",506.0353
"TREX1","TREX1",310.6572
"EDARADD","EDARADD",64.7017
"GDAP1","GDAP1",288.8
"PAX3","PAX3",0.4836
"FKRP","FKRP",326.2971
"ENAM","ENAM",0.4354
"OPA3","OPA3",587.15305
"MYLK2","MYLK2",3.377
"LZTS1","LZTS1",180.384
"MYO5B","MYO5B",557.2427
"SCGB3A2","SCGB3A2",0
"CYP27A1","CYP27A1",452.4053
"MLPH","MLPH",956.8396
"SLC25A19","SLC25A19",334.0763
"HAVCR1","HAVCR1",0.3289
"ZMPSTE24","ZMPSTE24",1678.0726
"ITPKC","ITPKC",832.53325
"CD320","CD320",593.4181
"NOP10","NOP10",703.6864
"NHP2","NHP2",1212.9906
"HAMP","HAMP",13.6303
"GBA","GBA",1582.7392
"EIF2B2","EIF2B2",602.0737
"HTRA2","HTRA2",590.12415
"STRC","STRC",3.8079
"ATL1","ATL1",103.4251
"EGLN1","EGLN1",2227.0241
"PRPF31","PRPF31",1448.49845
"DHCR24","DHCR24",7919.6482
"NLRP3","NLRP3",71.73265
"BSND","BSND",0
"ANTXR1","ANTXR1",2089.82095
"ITCH","ITCH",1350.2579
"CLRN1","CLRN1",0
"CATSPER1","CATSPER1",5.7931
"APOA5","APOA5",0
"ALS2","ALS2",645.2518
"ESPN","ESPN",21.9168
"APTX","APTX",462.24655
"PSTPIP1","PSTPIP1",59.77415
"SIX6","SIX6",0
"EIF2B3","EIF2B3",368.9358
"CTNS","CTNS",236.7446
"TNFRSF13C","TNFRSF13C",7.6025
"WNT10A","WNT10A",20.4449
"CLEC7A","CLEC7A",51.646
"TIRAP","TIRAP",134.4686
"DICER1","DICER1",1457.3899
"SHANK3","SHANK3",449.92345
"MFRP","MFRP",596.67955
"NT5C3A","NT5C3A",507.7811
"SEPN1","SEPN1",2681.2009
"SLC45A2","SLC45A2",1.09065
"WFS1","WFS1",614.897
"BHLHE41","BHLHE41",619.25345
"BSCL2","BSCL2",1483.37475
"PANK2","PANK2",437.6227
"SLC19A3","SLC19A3",11.3928
"BBS2","BBS2",623.80115
"SLC2A10","SLC2A10",364.9184
"RAB23","RAB23",334.5451
"SLC2A9","SLC2A9",41.0623
"SLURP1","SLURP1",0.0337
"HPS3","HPS3",934.8411
"PIP5K1C","PIP5K1C",1145.6507
"C10ORF2","C10ORF2",404.6451
"SMC3","SMC3",1338.76395
"TBX20","TBX20",0
"IFT122","IFT122",464.6871
"CD96","CD96",122.97265
"RNASEH2A","RNASEH2A",580.2804
"ALX3","ALX3",27.554
"BTNL2","BTNL2",0
"HAX1","HAX1",1616.38445
"KIF1B","KIF1B",1503.00875
"PDP1","PDP1",994.91485
"DCLRE1C","DCLRE1C",281.18835
"UBR1","UBR1",626.94695
"VPS13A","VPS13A",461.37665
"NOD2","NOD2",81.9984
"DPM3","DPM3",284.2791
"PCNT","PCNT",668.1155
"STIM1","STIM1",1370.3143
"ANGPTL4","ANGPTL4",306.8385
"MLC1","MLC1",10.3177
"ALG1","ALG1",565.11785
"LDB3","LDB3",12.8886
"BRIP1","BRIP1",168.0528
"SLC35C1","SLC35C1",678.6384
"KCNK9","KCNK9",1.7329
"DMGDH","DMGDH",3.8289
"HERC2","HERC2",1364.30985
"TMC8","TMC8",180.4481
"TMC6","TMC6",589.1936
"MRPS22","MRPS22",485.562
"ZEB2","ZEB2",498.64725
"AMN","AMN",33.0371
"BCMO1","BCMO1",3
"LDLRAP1","LDLRAP1",570.35435
"TUBA8","TUBA8",47.1772
"SOST","SOST",0
"PRX","PRX",138.5321
"SPTLC2","SPTLC2",1210.2339
"SPTLC1","SPTLC1",1769.98425
"VAPB","VAPB",1107.4766
"TRPM7","TRPM7",721.4274
"FBXO7","FBXO7",1996.51305
"SLC26A4","SLC26A4",8.6886
"SLC35A1","SLC35A1",422.5074
"SLC6A20","SLC6A20",2.4194
"PNKP","PNKP",473.6785
"CLDN14","CLDN14",2.4387
"FOXL2","FOXL2",0.0171
"HSD17B3","HSD17B3",1.6858
"RTN4R","RTN4R",115.12115
"RETN","RETN",0.3436
"FGF20","FGF20",0.027
"AIP","AIP",997.5171
"CD244","CD244",28.6247
"LMBR1","LMBR1",1020.0923
"LPIN2","LPIN2",931.7878
"LPIN1","LPIN1",637.82445
"CDH23","CDH23",24.2751
"PCDH15","PCDH15",0.3837
"ELOVL4","ELOVL4",34.6026
"TMPRSS3","TMPRSS3",6.30385
"CRTAP","CRTAP",2984.0576
"DNAI2","DNAI2",0.3743
"ASPM","ASPM",513.49725
"ABCG8","ABCG8",0
"ABCG5","ABCG5",1.4229
"RPGRIP1","RPGRIP1",3.24815
"PRKCH","PRKCH",633.63295
"TRPV4","TRPV4",147.973
"GJB4","GJB4",0.9213
"DHH","DHH",2.9819
"ALX4","ALX4",0
"MINPP1","MINPP1",276.3246
"IL21R","IL21R",96.9446
"FGF23","FGF23",0
"GAN","GAN",61.1232
"AAAS","AAAS",588.8354
"DMPK","DMPK",400.4887
"ARFGEF2","ARFGEF2",1390.9014
"ARHGAP26","ARHGAP26",431.2205
"ELAC2","ELAC2",1433.983
"GAD1","GAD1",13.53105
"GHRL","GHRL",4.5661
"CYP3A5","CYP3A5",4.2542
"FOXP2","FOXP2",16.7257
"HDAC4","HDAC4",373.3895
"CHST6","CHST6",60.82415
"OPA1","OPA1",1924.54585
"CAPN10","CAPN10",257.4806
"TSC1","TSC1",632.00785
"SERPINA10","SERPINA10",0
"SGSH","SGSH",1037.051
"JPH3","JPH3",3.47145
"NDRG1","NDRG1",14284.1585
"AICDA","AICDA",1.4889
"MCOLN1","MCOLN1",380.8013
"USH1C","USH1C",1.12945
"ATP6V0A4","ATP6V0A4",10.4377
"HNMT","HNMT",470.0053
"WNK1","WNK1",4288.8502
"DISC1","DISC1",155.3821
"HCN4","HCN4",1.1045
"ADCY10","ADCY10",0.499
"TOR1A","TOR1A",796.12755
"MESP2","MESP2",4.4218
"ANKH","ANKH",1073.9979
"WWOX","WWOX",117.268
"SPINT2","SPINT2",255.5476
"AASS","AASS",299.88375
"MASP2","MASP2",10.9722
"TAB2","TAB2",1857.87095
"TREM2","TREM2",209.8682
"FRZB","FRZB",207.0447
"CNGB3","CNGB3",0.3538
"TARDBP","TARDBP",3457.6811
"TRIM37","TRIM37",563.71315
"VSX1","VSX1",0
"CYLD","CYLD",888.8956
"STX11","STX11",122.0788
"SPINK5","SPINK5",10.2161
"SLC9A3R1","SLC9A3R1",3267.2911
"SPTBN2","SPTBN2",629.3811
"HPS1","HPS1",1047.5346
"PRKAG3","PRKAG3",0
"FCN3","FCN3",31.63535
"PDE11A","PDE11A",9.5244
"KIR3DL1","KIR3DL1",0.60505
"SLC26A5","SLC26A5",0.24075
"TBCE","TBCE",569.9456
"MUTYH","MUTYH",153.4102
"CTDP1","CTDP1",487.4674
